MASTER_DATA_ID__c|Name|CS_POP_Label__c|Status__c|Provider__c|Type__c|CS_POP_Options__c|Facility_Type__c|Address__r.Name|CS_City__c|CS_Country__c|CS_Region__c|Latitude__c|Longitude__c|Local_Access_Providers__c|Workflow_Queue__c|On_Net_POP__c|Tier__c|Supported_AS__c|FS_Waiver_IPVPN__c|FS_Waiver_Internet__c|FS_Waiver_Colo__c|Is_LOA_Mandatory|LL_Test_By_FS__c|Supported_By__c|Facility_Name__c|Operate__c|Facility_Provider__c|Facility_Service_Status__c|Power_Upgrade_Availability__c|Annual Price Increment|API_Applicable_Product|Standard__c|Facility_Workflow_Queue__c|Customer__c|Facility_Certfication__c|Metro Connect|Campus Cross Connect|NNIA/B Suppliers|ENNI Suppliers|Additional_Information__c|EPL|EPL Prime|IPL|ICBS|EPLX|GID|IPT|TWI|TID|GIE|IPVPN|RSA|SMA|VPLS|EVPL|COLO|TPN|GMN|CLSCOLO|SATDPL|SATTAS|SATVST|SATVOF|SATVSP|SATUPL|SATDNL|SATTND|SATVNO|SATFLR|SATRCK|SATXCN|SATPRE|IPX|FABRIC|METAL|Global_IPVPN_Interconnect|NEXTIP_Interconnect|NFV_AVAILABLE|PRE_WIRING|EXCHANGE_Interconnect|GMN Node Type|SITE|UIA|CABLE|VPG
JSOM|JSOM|JSOM|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|Shima Cable Landing Station (C2C) 68 Kohka, Agochou Agochou JAPAN SHIMA 517-0505|SHIMA|JAPAN|Asia, Australia|34.313972|136.868893|Arteria|FS Japan Cable Station (EAC Shima)|On-Net|Cable Landing Station|||||TRUE|No|FS|||||||||||||||||EPL||IPL|ICBS||||||||||||||||||||||||||||||||||||||||EAC|
SMCC|SMCC|SMCC|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|Shima Cable Landing Station (C2C) KDDI 2330-1 Kohka, Agochou Agochou JAPAN SHIMA|SHIMA|JAPAN|Asia, Australia|34.32816|136.829691|KDDI|FS Japan Cable Station|On-Net|Cable Landing Station|||||TRUE|No|FS|||||||||||||||||EPL||IPL|ICBS||||||||||||||||||||||||||||||||||||||||C2C, JUS, FASTER|
SSNT|SSNT|SSNT|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|4-3 Anori Ago-cho JAPAN SHIMA|SHIMA|JAPAN|Asia, Australia|34.327023|136.874771||FS Japan Cable Station|On-Net|Cable Landing Station|||||TRUE|No|NP|||||||||||||||||EPL||IPL|ICBS|||||||||||||||||||||||||||||||||||||||||
JTAM|JTAM|JTAM|Live - as designed|KDDI|Point of Presence|COLO;|Data Centre|Tama 1, 3 Chome-Karakida, Tama, Tokyo, 206-0035, Japan|TOKYO|JAPAN|Asia, Australia|||||Off-Net|||||No|FALSE|No||KDDI Tama, Tokyo|Resell|KDDI||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
JTHA|JTHA|JTHA|Live - as designed|Telstra International|Point of Presence;Infrastructure|EPL;IPL;ICBS;GID;IPT;IPVPN;VPLS;EVPL;COLO;TPN;|PoP;Data Centre|4/F Comspace, 1-5-3 Horidomecho Nihonbashi Chuo-ku JAPAN TOKYO 103-0012|TOKYO|JAPAN|Asia, Australia|35.683117|139.77454||FS Japan POP - Tokyo|On-Net|Primary|AS4637|1G|1G|No|FALSE|No|FS|TKDS2, Tokyo|Leased|Telstra International||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;||||||||||EPL||IPL|ICBS||GID|IPT||||IPVPN|||VPLS|EVPL|COLO|TPN|||||||||||||||||||TRUE|FALSE|TRUE|FALSE|AS4637|||Not Supported|C2C, AJC, JUS, RNAL, EAC, UNITY, APCN2, FASTER|
NFP3|NFP3|NFP3|Live - as designed|Telstra International|Point of Presence|EPL;IPL;ICBS;GID;IPT;IPVPN;VPLS;EVPL;COLO;GMN;|PoP;Data Centre|3/F NF-Park Bldg, 2-9-15 Futabacho Shinagawa-ku JAPAN TOKYO 142-0043|TOKYO|JAPAN|Asia, Australia|35.605418|139.7240506|NTT,KDDI,Colt,Tokai,Softbank|FS Japan POP - Tokyo|On-Net|Extension|AS4637|100M|100M|No|FALSE|No|FS|NFP3|Owned|Telstra International|||3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;||||||||||EPL||IPL|ICBS||GID|IPT||||IPVPN|||VPLS|EVPL|COLO||GMN|||||||||||||||||||||||||Supported|C2C, AJC, JUS, RNAL, EAC, UNITY, APCN2, FASTER|
JAAS|JAAS|JAAS|Live - as designed|Telstra International|Infrastructure||Repeater|3-1-58 Daida Abiko-shi JAPAN TOKYO 270-1167|TOKYO|JAPAN|Asia, Australia|35.875501|139.997595||FS Japan POP - Tokyo|On-Net||||||FALSE|No|FS|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
JTAT|JTAT|JTAT|Live - as designed|Telstra International|Point of Presence|EPL;IPL;EPLX;GID;IPT;|PoP|AT Tokyo Chuo Center, 6-2-15, Toyosu Koto-ku JAPAN TOKYO 135-0061|TOKYO|JAPAN|Asia, Australia|35.648495|139.7925248|NTT,KDDI,Colt,Arteria,Softbank|FS Japan POP - Tokyo|On-Net|Extension|||||FALSE|No|FS|||||||||||||||||EPL||IPL||EPLX|GID|IPT|||||||||||||||||||||||||||||||||||||C2C, AJC, JUS, RNAL, EAC, UNITY, APCN2, FASTER|
JTFB|JTFB|JTFB|Decommissioned|Telstra International|Point of Presence|||3/F Fukide Building. 4-1-13 Toranomon Minato-ku JAPAN TOKYO 105-0001|TOKYO|JAPAN|Asia, Australia|35.66214|139.743894||FS Japan POP - Tokyo|On-Net||||||FALSE|No|FS|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
JTHF|JTHF|JTHF|Live - cease sale|Telstra International|Point of Presence;Infrastructure|COLO;|Data Centre|3/F Comspace, 1-5-3 Horidomecho Nihonbashi Chuo-ku JAPAN TOKYO 103-0012|TOKYO|JAPAN|Asia, Australia|35.6874672|139.779481|Arteria,NTT,KDDI,Colt,Softbank|FS Japan POP - Tokyo|On-Net|||||No|FALSE|No|FS|TKDS1, Tokyo|Resell|IDC Frontiner||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;||||ISO27001|||||||||||||||||||||COLO|||||||||||||||||||||||||||||
JTIS|JTIS|JTIS|Live - cease sale|Telstra International|Point of Presence|EPL;IPL;ICBS;COLO;|PoP|3/F TIS Building 2-7-13 Shiohama Koto-ku JAPAN TOKYO 135-0043|TOKYO|JAPAN|Asia, Australia|35.6626226|139.8068334|NTT,Colt|FS Japan POP - Tokyo|On-Net|||||No|FALSE|No|FS|TIS Dai-san Center, Tokyo|Leased|TIS|||3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;||||||||||EPL||IPL|ICBS||||||||||||COLO||||||||||||||||||||||||||||C2C, AJC, JUS, RNAL, EAC, UNITY, APCN2, FASTER|
JTGD|JTGD|JTGD|Live - cease sale|Telstra International|Point of Presence;Infrastructure|GID;IPT;IPVPN;COLO;|Data Centre|TIS Gotenyama Datacenter 2/F 6-5 Kitashinagawa Shinagawa-ku JAPAN TOKYO 142-0043|TOKYO|JAPAN|Asia, Australia|35.6254603|139.7319993||FS Japan POP - Tokyo|On-Net|Secondary|AS4637|100M|100M|No|FALSE|No|FS|TKDS3, Tokyo|Resell|TIS||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||||||||||GID|IPT||||IPVPN|||||COLO|||||||||||||||||||||||||||Supported||
KDOH|KDOH|KDOH|Live - as designed|Telstra International|Point of Presence;Infrastructure|EPL;IPL;ICBS;GID;IPT;VPLS;EVPL;|Cloud Collaboration|10/F KDDI Otemachi Bldg. 1-8-1 Otemachi Chiyoda-ku JAPAN TOKYO 100-0004|TOKYO|JAPAN|Asia, Australia|35.6877177|139.7646002|KDDI|FS Japan POP - Tokyo|On-Net|Extension|AS4637||100M||FALSE|No|FS|||||||||||||||||EPL||IPL|ICBS||GID|IPT|||||||VPLS|EVPL|||||||||||||||||||||||||||||C2C, AJC, JUS, RNAL, EAC, UNITY, APCN2, FASTER|
NTOH|NTOH|NTOH|Live - as designed|Telstra International|Point of Presence|GID;IPT;|PoP|B1/F NTT-Data Otemachi Bldg. 2-2-2 Otemachi Chiyoda-ku JAPAN TOKYO 100-0004|TOKYO|JAPAN|Asia, Australia|35.694|139.75359|BBT,NTT,KDDI|FS Japan POP - Tokyo|On-Net|Extension|AS4637||100M||FALSE|No|FS||||||||||||||||||||||GID|IPT|||||||||||||||||||||||||||||||||||||C2C, AJC, JUS, RNAL, EAC, UNITY, APCN2, FASTER|
SIKO|SIKO|SIKO|Live - as designed|Telstra International|Point of Presence|EPL;IPL;ICBS;GID;IPT;IPVPN;RSA;VPLS;EVPL;GMN;IPX;|PoP|4/F, East-Wing, Shin-Nikko Bldg, 2-10-1 Toranomon Minato-ku JAPAN TOKYO 105-0001|TOKYO|JAPAN|Asia, Australia|35.6621|139.74334|Arteria,NTT,KDDI,Colt,Softbank,Tokai|FS Japan POP - Tokyo|On-Net|Primary|AS4637|1G|1G||FALSE|No|FS|SIKO|Leased|Telstra International||||||||||||||EPL||IPL|ICBS||GID|IPT||||IPVPN|RSA||VPLS|EVPL|||GMN|||||||||||||||IPX||||||||||Supported|C2C, AJC, JUS, RNAL, EAC, UNITY, APCN2, FASTER|VPG
JTYB|JTYB|JTYB|Live - as designed|Equinix|Infrastructure|METAL;|Data Centre|TY11, 1-2-41,Ariake,Koutou-ku, Tokio, JP, 135-0063|TOKYO|JAPAN|Asia, Australia|35.63974|139.79236|||Off-Net|||||Yes||||Equinix TY11, Tokyo|Resell|Equinix||||||||||||||||||||||||||||||||||||||||||||||||METAL||||||||||
EQHS|EQHS|EQHS|Live - as designed|Telstra International|Point of Presence|EPL;IPL;ICBS;GID;IPT;IPVPN;TPN;FABRIC;|PoP|Equinix TY2 Data Centre 3-8-21 Higashishinagawa Shinagawa-ku JAPAN TOKYO 140-000|TOKYO|JAPAN|Asia, Australia|35.62093|139.74471||FS Japan POP - Tokyo|On-Net|Extension|AS4637|1G|1G|Yes|FALSE|No|FS|Equinix TY2, Tokyo|Resell|Equinix|||||||||TY1,TY3,TY4,TY5,TY6,TY7,TY8,TY9,TY10,TY11|TY6,TY7,TY8||||EPL||IPL|ICBS||GID|IPT||||IPVPN||||||TPN|||||||||||||||||FABRIC||FALSE|FALSE|FALSE|FALSE|AWS - Asia Pacific (Tokyo)|||Not Supported||
JTY1|JTY1|JTY1|Live - as designed|Equinix|Point of Presence|COLO;FABRIC;METAL;|Data Centre|TRC - C Building, B Block 4F 5-1 Heiwajima 6-Chome Ota-Ku, Tokyo, Japan 143-0006|TOKYO|JAPAN|Asia, Australia|35.57624|139.74908|||Off-Net|||||Yes|FALSE|No||Equinix TY1, Tokyo|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||TY2,TY3,TY4,TY5,TY6,TY7,TY8,TY9,TY10,TY11||||||||||||||||||||COLO||||||||||||||||||FABRIC|METAL||||||||||
EQ02|EQ02|EQ02|Live - cease sale|Equinix|Point of Presence|COLO;FABRIC;|Data Centre|T1-9 -20 Edagawa Koto -Ku Tokyo Japan 135 -0051|TOKYO|JAPAN|Asia, Australia|35.656627|139.807522|||Off-Net|||||Yes|FALSE|No||Equinix TY3, Tokyo|Leased|Equinix||No|||||||TY1,TY2,TY4,TY6,TY7,TY8,TY9,TY10,TY11|TY5|||||||||||||||||||COLO||||||||||||||||||FABRIC|||||||||||
JTY3|JTY3|JTY3|Live - as designed|Telstra International|Point of Presence;Infrastructure|COLO;FABRIC;|Data Centre|Equinix TY3 Data Centre 1-9-20 Edagawa Koto-shi JAPAN TOKYO 135-0051|TOKYO|JAPAN|Asia, Australia|35.656627|139.807522|Equinix|FS Japan POP - Tokyo|On-Net|||||Yes|FALSE|No|FS|Equinix TY3, Tokyo|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||TY1,TY2,TY4,TY6,TY7,TY8,TY9,TY10,TY11|TY5|||||||||||||||||||COLO||||||||||||||||||FABRIC|||||||Media Node||||
JTY4|JTY4|JTY4|Live - as designed|Telstra International|Point of Presence|EPL;IPL;ICBS;GID;IPT;FABRIC;|PoP|Otemachi Financial City  North Tower, 1-9-5 Otemachi, Chiyoda-ku, Tokyo, Japan,|TOKYO|JAPAN|Asia, Australia|35.688566|139.764859|Equinix|FS Japan PoP - Tokyo|On-Net|Extension||||Yes|FALSE|No|FS|Equinix TY4, Tokyo|Resell|Equinix|||||||||TY1,TY2,TY3,TY5,TY6,TY7,TY8,TY9,TY10,TY11|TY9,TY10||||EPL||IPL|ICBS||GID|IPT|||||||||||||||||||||||||||FABRIC||||||||||C2C, AJC, JUS, RNAL, EAC, UNITY, APCN2, FASTER|
JTY5|JTY5|JTY5|Live - as designed|Equinix|Point of Presence|COLO;FABRIC;METAL;|Data Centre|1-10-19, Edagawa Koto-ku, Tokyo, Japan 135-0051|TOKYO|JAPAN|Asia, Australia|35.65562|139.80424|||Off-Net|||||Yes|FALSE|No||Equinix TY5, Tokyo|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||TY1,TY2,TY3,TY4,TY6,TY7,TY8,TY9,TY10,TY11||||||||||||||||||||COLO||||||||||||||||||FABRIC|METAL||||||||||
JTY6|JTY6|JTY6|Live - as designed|Equinix|Point of Presence|COLO;FABRIC;|Data Centre|2-2-43, Higashi-shinagawa Shinagawa-ku, Tokyo, Japan 140-0002|TOKYO|JAPAN|Asia, Australia|35.62303|139.74814||FS Japan PoP - Tokyo|Off-Net|||||Yes|FALSE|No|FS|Equinix TY6, Tokyo|Resell|Equinix|||||||||TY1,TY2,TY3,TY4,TY5,TY8,TY9,TY10,TY11|TY2,TY7,TY8|||||||||||||||||||COLO||||||||||||||||||FABRIC|||||||Media Node||||
JTY7|JTY7|JTY7|Live - as designed|Equinix|Point of Presence|COLO;FABRIC;METAL;|Data Centre|2-2-43, Higashi-shinagawa Shinagawa-ku, Tokyo, Japan 140-0002|TOKYO|JAPAN|Asia, Australia|35.65562|139.80424|||Off-Net|||||Yes|FALSE|No||Equinix TY7, Tokyo|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||TY1,TY2,TY3,TY4,TY5,TY6,TY8,TY9,TY10,TY11|TY2,TY6,TY8|||||||||||||||||||COLO||||||||||||||||||FABRIC|METAL||||||||||
JTY8|JTY8|JTY8|Live - as designed|Equinix|Point of Presence|COLO;FABRIC;|Data Centre|Equinix, 2-1-17 Higashi-shinagawa, Shinagawa-ku, Tokyo 140-0002, Japan|TOKYO|JAPAN|Asia, Australia|35.622069|139.747823|||Off-Net|||||Yes|FALSE|No||Equinix TY8, Tokyo|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||TY1,TY2,TY3,TY4,TY5,TY6,TY7,TY9,TY10,TY11|TY2,TY6,TY7,|||||||||||||||||||COLO||||||||||||||||||FABRIC|||||||||||
JTY9|JTY9|JTY9|Live - as designed|Equinix|Point of Presence|COLO;FABRIC;|Data Centre|TY9, Equinix, 1-12-3, Suido, Bunkyo City, Tokyo, Japan, 112-0005|TOKYO|JAPAN|Asia, Australia|35.70875|139.74392||FS Japan POP - Tokyo|Off-Net|||||Yes||No||Equinix TY9, Tokyo|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||TY1,TY2,TY3,TY4,TY5,TY6,TY7,TY8,TY11|TY4,TY10|||||||||||||||||||COLO||||||||||||||||||FABRIC|||||||||||
JTYA|JTYA|JTYA|Live - as designed|Equinix|Point of Presence|COLO;FABRIC;METAL;|Data Centre|1-12-3, Suido, Bunkyo-ku Tokyo, Japan 112-0005|TOKYO|JAPAN|Asia, Australia|35.70863|139.74434|||Off-Net|||||Yes|FALSE|No||Equinix TY10, Tokyo|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||TY1,TY2,TY3,TY4,TY5,TY6,TY7,TY8,TY11|TY4,TY9|||||||||||||||||||COLO||||||||||||||||||FABRIC|METAL||||||||||
JTYC|JTYC|JTYC|Live - as designed|Equinix|Point of Presence|COLO;FABRIC;METAL;|Data Centre|No.8 of 101-ban, No.6 of 210- ban, 2-chome, Izumino, Inzai-shi, Chiba-ken, Japan|TOKYO|JAPAN|Asia, Australia|35.70863|139.74434|||Off-Net|||||Yes|FALSE|No||Equinix TY10, Tokyo|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||TY1,TY2,TY3,TY4,TY5,TY6,TY7,TY8,TY11|TY4,TY9|||||||||||||||||||COLO||||||||||||||||||FABRIC|METAL||||||||||
JWLS|JWLS|JWLS|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;CLSCOLO;|Cable Landing Station|Wada Cable Landing Station (RNAL) Wada Minamiboso JAPAN WADA 299-2702|WADA|JAPAN|Asia, Australia|35.0202|139.98116||FS Japan Cable Station|On-Net|Cable Landing Station||||No|TRUE|No|FS|WADA Cable Station, Chiba-ken|Leased|Telstra International||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;||||||||||EPL||IPL|ICBS|||||||||||||||CLSCOLO|||||||||||||||||||||||||RNAL|
ZZZZ_JORDAN|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|JORDAN|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_KAZAKHSTAN|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|KAZAKHSTAN|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_KENYA|ZZZZ|ZZZZ|Live - as designed|||GIE;IPVPN;|||ANY|KENYA|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||CMC Networks,Internet Solutions||||||||||||GIE|IPVPN||||||||||||||||||||||||||||||||||
ZZZZ_KIRIBATI|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|KIRIBATI|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_KOREA NORTH|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|KOREA NORTH|Asia, Australia|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_KOREA SOUTH|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|KOREA SOUTH|Asia, Australia|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
KBLG|KBLG|KBLG|Decommissioned|Telstra International|Point of Presence|GID;||LG CNS Busan Cloud Data Center 370 Gurang-dong Gangseo-gu KOREA SOUTH BUSAN|BUSAN|KOREA SOUTH|Asia, Australia|35.135079|128.8588964|LG U+, SKB|FS Korea Busan|On-Net|Secondary|AS4637||100M||FALSE|No|FS||||||||||||||||||||||GID|||||||||||||||||||||||||||||||||||||||
KOLS|KOLS|KOLS|Live - as designed|Telstra International|Point of Presence;Infrastructure|EPL;IPL;ICBS;CLSCOLO;|PoP;Cable Landing Station|433-1 Songjeong-dong Haeundae KOREA SOUTH BUSAN|BUSAN|KOREA SOUTH|Asia, Australia|35.1781982|129.1957636|KT,LGU+,SKBB,SEJONG|FS Korea Busan|On-Net|Extension||||No|FALSE|No|FS|KOLS, Seoul|Leased|KT|||3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;||||||||||EPL||IPL|ICBS|||||||||||||||CLSCOLO|||||||||||||||||||||||||RNAL|
KRBX|KRBX|KRBX|Live - as designed|Telstra International|Point of Presence|EPLX;|PoP|KRX Data Center 830-30 Beomil-dong Dong-Gu KOREA SOUTH BUSAN|BUSAN|KOREA SOUTH|Asia, Australia|35.13825|129.06409|KT,LGU+,SKBB|FS Korea Busan|On-Net|Extension|||||TRUE|No|FS|||||||||||||||||||||EPLX||||||||||||||||||||||||||||||||||||||||
PUCC|PUCC|PUCC|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|Busan Cable Landing Station (C2C) U-dong Haeundae-gu KOREA SOUTH BUSAN|BUSAN|KOREA SOUTH|Asia, Australia|35.179554|129.075642||FS Korea Busan|On-Net|Cable Landing Station|||||FALSE|No|FS|||||||||||||||||EPL||IPL|ICBS||||||||||||||||||||||||||||||||||||||||C2C|
PUCS|PUCS|PUCS|Live - cease sale|Telstra International|Infrastructure||Cable Landing Station|Busan Cable Landing Station (APCN RNAL) Songjeong-Dong Haeundae-gu KOREA SOUTH B|BUSAN|KOREA SOUTH|Asia, Australia|35.1579735|129.0621712|||On-Net||||||FALSE|No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
KIBC|KIBC|KIBC|Decommissioned|Telstra International|Point of Presence|EPL;IPL;ICBS;|PoP|233 Yongsan-ri Daegwallyeong-myeon KOREA SOUTH PYEONGCHANG|PYEONGCHANG|KOREA SOUTH|Asia, Australia|37.66055|128.67043|||On-Net||||||FALSE|No||||||||||||||||||EPL||IPL|ICBS|||||||||||||||||||||||||||||||||||||||||
KBGG|KBGG|KBGG|Live - as designed|KINX|Point of Presence|EPL;IPL;ICBS;|PoP|KINX IDC Bundang Center,Hostway IDC, 36, Jangmi-ro, (343-1, Yatap-dong,) Bundang|SEOUL|KOREA SOUTH|Asia, Australia|37.41346|127.12449|KT|FS Korea Seoul|On-Net|Extension|||||FALSE|No|FS|KINX, Seoul||||||||||||||||EPL||IPL|ICBS||||||||||||||||||||||||||||||||||||||||EAC,C2C,RNAL|
KSCC|KSCC|KSCC|Decommissioned|Telstra International|Point of Presence|||4/F e-Business Service Center Indian Hall COEX 159 Samsung-Dong Gangnam-gu KOREA|SEOUL|KOREA SOUTH|Asia, Australia|37.48847|127.05403|||Off-Net||||||FALSE|No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
KSGG|KSGG|KSGG|Live - as designed|KINX (LG CNS)|Point of Presence|EPL;IPL;ICBS;|PoP|3F, 189, Gasan digital 1-ro, Gasan-dong, Geumcheon-gu, Seoul, Korea South, 153-0|SEOUL|KOREA SOUTH|Asia, Australia|37.4821|126.87973|KT,LGU+,SKBB,SEJONG|FS Korea Seoul|On-Net|Extension|||||FALSE|No|FS|||||||||||||||||EPL||IPL|ICBS||||||||||||||||||||||||||||||||||||||||EAC,C2C,RNAL|
KSSB|KSSB|KSSB|Decommissioned|Telstra International|Point of Presence|||6 Beobwon-ro 1-gil, Seocho-dong Seocho-gu KOREA SOUTH SEOUL|SEOUL|KOREA SOUTH|Asia, Australia|37.566535|126.977969|LG U+, SKB||On-Net||||||FALSE|No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
KSSD|KSSD|KSSD|Live - as designed|Telstra International|Point of Presence;Infrastructure|EPL;IPL;ICBS;GID;IPT;IPVPN;RSA;VPLS;EVPL;COLO;IPX;|PoP;Data Centre|LGU+ 1423 Seocho-dong Seocho-dong KOREA SOUTH SEOUL|SEOUL|KOREA SOUTH|Asia, Australia|37.4832927|127.0220988|KT,LGU+,SKBB,SEJONG,DreamLine|FS Korea Seoul|On-Net|Primary|AS4637|1G|1G|No|FALSE|No|FS|SEDS1, Korea|Leased|Telstra International||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;||||ISO27001||||||EPL||IPL|ICBS||GID|IPT||||IPVPN|RSA||VPLS|EVPL|COLO|||||||||||||||||IPX||||||||||Not Supported|RNAL, APCN2, C2C, EAC|
DDGG|DDGG|DDGG|Live - as designed|Telstra International|Point of Presence|GID;IPT;|PoP|5F Daelim Acrotel 467-6 Dogok-dong Gangnam-gu KOREA SOUTH SEOUL|SEOUL|KOREA SOUTH|Asia, Australia|37.4881387|127.0511666|KT,LGU+,SKBB,SEJONG,DreamLine|FS Korea Seoul|On-Net|Extension|AS4637||100M||TRUE|No|FS||||||||||||||||||||||GID|IPT||||||||||||||||||||||||||||||||||||||
KSYD|KSYD|KSYD|Live - as designed|Telstra International|Point of Presence|EPL;IPL;ICBS;GID;IPT;IPVPN;VPLS;EVPL;|PoP|5/F Hyundai Marine & Fire Insurance 646-1 Yeoksam-dong Gangnam-gu KOREA SOUTH SE|SEOUL|KOREA SOUTH|Asia, Australia|37.500279|127.0339966|KT,LGU+,SKBB|FS Korea Seoul (C2C)|On-Net|Primary|AS4637|1G|1G||FALSE|No|FS|KSYD|Leased|Telstra International||||||||||||||EPL||IPL|ICBS||GID|IPT||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||Supported|RNAL, APCN2, C2C, EAC|
KSEQ|KSEQ|KSEQ|Live - as designed|Equinix|Point of Presence|EPL;IPL;ICBS;IPT;VPLS;EVPL;COLO;METAL;|PoP|Digital Media City 24, World cup buk-ro 60-gil, Sangam-ding, Mapo-gu, Seoul, South Korea(Post code 03922)|SEOUL|KOREA SOUTH|Asia, Australia|37.58268|126.88698|KT,LGU+,SKBB,SEJONG|FS Korea Seoul|On-Net|Extension||||Yes|FALSE|No|FS|Equinix SL1, Seoul|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;||||||||||EPL||IPL|ICBS|||IPT|||||||VPLS|EVPL|COLO|||||||||||||||||||METAL|||||||||EAC,C2C,RNAL|
KSSR|KSSR|KSSR|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|Taean Cable Landing Station (EAC) Sindu-ri Wonbuk-myeon Taean-gun KOREA SOUTH TA|SINDU-RI|KOREA SOUTH|Asia, Australia|36.836694|126.208832||FS Korea Cable Station (EAC)|On-Net|Cable Landing Station|||||FALSE|No|FS|||||||||||||||||EPL||IPL|ICBS||||||||||||||||||||||||||||||||||||||||EAC|
ZZZZ_KUWAIT|ZZZZ|ZZZZ|Live - as designed|||GIE;IPVPN;|||ANY|KUWAIT|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||BT Wholesale||||||||||||GIE|IPVPN||||||||||||||||||||||||||||||||||
ZZZZ_LAOS|ZZZZ|ZZZZ|Live - as designed|||GIE;IPVPN;|||ANY|LAOS|Asia, Australia|||||Off-Net|||||||No|||||||||||||||Viettel Group||||||||||||GIE|IPVPN||||||||||||||||||||||||||||||||||
ZZZZ_LATVIA|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|LATVIA|Europe|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_LEBANON|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|LEBANON|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
ZZZZ_LIBYA|ZZZZ|ZZZZ|Live - as designed|||GIE;|||ANY|LIBYA|Middle East / Africa|||||Off-Net|||||||No|||||||||||||||||||||||||||GIE|||||||||||||||||||||||||||||||||||
