MASTER_DATA_ID__c|Name|CS_POP_Label__c|Status__c|Provider__c|Type__c|CS_POP_Options__c|Facility_Type__c|Address__r.Name|CS_City__c|CS_Country__c|CS_Region__c|Latitude__c|Longitude__c|Local_Access_Providers__c|Workflow_Queue__c|On_Net_POP__c|Tier__c|Supported_AS__c|FS_Waiver_IPVPN__c|FS_Waiver_Internet__c|FS_Waiver_Colo__c|Is_LOA_Mandatory|LL_Test_By_FS__c|Supported_By__c|Facility_Name__c|Operate__c|Facility_Provider__c|Facility_Service_Status__c|Power_Upgrade_Availability__c|Annual Price Increment|API_Applicable_Product|Standard__c|Facility_Workflow_Queue__c|Customer__c|Facility_Certfication__c|Metro Connect|Campus Cross Connect|NNIA/B Suppliers|ENNI Suppliers|Additional_Information__c|EPL|EPL Prime|IPL|ICBS|EPLX|GID|IPT|TWI|TID|GIE|IPVPN|RSA|SMA|VPLS|EVPL|COLO|TPN|GMN|CLSCOLO|SATDPL|SATTAS|SATVST|SATVOF|SATVSP|SATUPL|SATDNL|SATTND|SATVNO|SATFLR|SATRCK|SATXCN|SATPRE|IPX|FABRIC|METAL|Global_IPVPN_Interconnect|NEXTIP_Interconnect|NFV_AVAILABLE|PRE_WIRING|EXCHANGE_Interconnect|GMN Node Type|SITE|UIA|CABLE|VPG
KALS|KALS|KALS|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|Kitaibaraki Cable Landing Station (JUC, APCN2) Kitaibaraki Kitaibaraki JAPAN IBA|KITAIBARAKI|JAPAN|Asia, Australia|36.801911|140.750979||FS Japan Cable Station|On-Net|Cable Landing Station|||||FALSE|No||||||||||||||||||EPL||IPL|ICBS|||||||||||||||||||||||||||||||||||||||||
KJLS|KJLS|KJLS|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|Kitaibaraki Cable Landing Station (JUC, APCN2) Kitaibaraki Kitaibaraki JAPAN IBA|KITAIBARAKI|JAPAN|Asia, Australia|36.801911|140.750979||FS Japan Cable Station|On-Net|Cable Landing Station|||||FALSE|No||||||||||||||||||EPL||IPL|ICBS|||||||||||||||||||||||||||||||||||||||||
MJLS|MJLS|MJLS|Live - as designed|Telstra International|Infrastructure|EPL;IPL;ICBS;|Cable Landing Station|Maruyama Cable Landing Station (AJC) Shirako Minamiboso Chiba JAPAN MARUYAMA 299|MARUYAMA|JAPAN|Asia, Australia|35.47497|138.094781|Softbank|FS Japan Cable Station|On-Net|Cable Landing Station|||||TRUE|No|FS|||||||||||||||||EPL||IPL|ICBS||||||||||||||||||||||||||||||||||||||||AJC, JUS|
JNMK|JNMK|JNMK|Decommissioned|Telstra International|Point of Presence|||3/F Meitetsu Kyosyo Computer Bldg. 1-21-12 Meieki Minami Nakamura-ku JAPAN NAGOY|NAGOYA|JAPAN|Asia, Australia|#N/A|#N/A|||On-Net||||||FALSE|No||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
JOGD|JOGD|JOGD|Live - as designed|TIS|Customer|COLO;|Data Centre|5-4-1 Saitoyamabuki, Ibaraki-shi, Osaka, 567-0086, Japan|OSAKA|JAPAN|Asia, Australia|34.86225|135.51796||FS Japan POP - Osaka|Off-Net|||||No|FALSE|No|FS|TIS, Osaka|Resell|TIS||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||Blackrock||||||||||||||||||||||COLO|||||||||||||||||||||||||||||
JOUA|JOUA|JOUA|Live - as designed|Telstra International|Point of Presence|EPL;IPL;GID;IPT;IPVPN;VPLS;EVPL;|PoP|8/F Urban Ace Higashi-Tenma Bldg,. 1-1-19 Higashi Tenma Kita-ku JAPAN OSAKA 530-|OSAKA|JAPAN|Asia, Australia|34.6960329|135.5174986|Arteria,NTT,KDDI,Colt,Softbank|FS Japan POP - Osaka|On-Net|Primary|AS4637|1G|1G||FALSE|No|FS|JOUA|Leased|Telstra International||||||||||||||EPL||IPL|||GID|IPT||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||Supported|C2C, AJC, JUS,EAC,FASTER|
NTDO|NTDO|NTDO|Live - as designed|Telstra International|Point of Presence;Infrastructure|EPL;IPL;ICBS;GID;IPT;IPVPN;VPLS;EVPL;|PoP;Cloud Collaboration|11/F NTTData Dojima Bldg 3-1-21 Dojima (23F rack no F-7/F-8) Kita-ku JAPAN OSAKA|OSAKA|JAPAN|Asia, Australia|34.6966651|135.4980931|NTT|FS Japan POP - Osaka|On-Net|Extension|AS4637|100M|100M||FALSE|No|FS|NTDO|Leased|Telstra International||||||||||||||EPL||IPL|ICBS||GID|IPT||||IPVPN|||VPLS|EVPL||||||||||||||||||||||||||||Not Supported|C2C, AJC, JUS,EAC,FASTER|
JOS1|JOS1|JOS1|Live - as designed|Telstra International|Point of Presence|EPL;IPL;ICBS;GID;IPT;IPVPN;VPLS;EVPL;COLO;|PoP;Data Centre|2F, 1-26-1 Shim-machi Nishi-ku JAPAN OSAKA 550-0013|OSAKA|JAPAN|Asia, Australia|34.67576|135.4956|Equinix|FS Japan POP - Osaka|On-Net|Extension|AS4637|100M|100M|Yes|FALSE|No|FS|Equinix OS1, Osaka|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||OS3|||||EPL||IPL|ICBS||GID|IPT||||IPVPN|||VPLS|EVPL|COLO|||||||||||||||||||||||||||Not Supported|C2C, AJC, JUS,EAC,FASTER|
JOS2|JOS2|JOS2|Live - as designed|Equinix|Point of Presence|COLO;METAL;|Data Centre|4-1-58, Saitoao-Kita, Minoo City, Osaka, Japan|OSAKA|JAPAN|Asia, Australia|34.86022|135.50729|Equinix|FS Japan POP - Osaka|Off-Net|||||Yes|FALSE|No|FS|Equinix OS2x, Osaka|Resell|Equinix||No|3|COLO-RACK;COLO-CAGE;COLO-CAGE-RACK;COLO-CAGE-PWR;|||||||||||||||||||||||||COLO|||||||||||||||||||METAL||||||||||
JOS3|JOS3|JOS3|Live - as designed|Equinix|Point of Presence|COLO;FABRIC;|Data Centre|Keihanshin OBP Bldg., 2-2-82 Shiromi, Chuo-ku, Osaka 540-0001 Japan |OSAKA|JAPAN|Asia, Australia|34.67576|135.4956|Equinix|FS Japan POP - Osaka|Off-Net|||||Yes|FALSE|No|FS|Equinix OS3,Osaka|Resell|Equinix|||||||||OS1||||||||||||||||||||COLO||||||||||||||||||FABRIC|||||||||||
